metric_id,entity_level,exact_numerator_or_aggregation,exact_denominator,deduplication_key,included_rows,excluded_rows,open_interval_policy,right_censor_policy,quality_break_policy,denominator_scope,parameter_response,hard_gate_usage,null_policy,availability_basis
gap_pending_zone_count,event_zone,zones with status_as_of=GAP_PENDING,candidate cell evaluation date,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
reentry_pending_zone_count,event_zone,zones with status_as_of=REENTRY_PENDING_QUALIFICATION,candidate cell evaluation date,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
unqualified_reentry_count,event_zone,count reentry attempts ending before d qualification,qualified_event_count plus unqualified reentry attempts,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
events_per_security,event_zone,qualified_event_count grouped by security,unique securities,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
unique_securities,event_zone,count distinct securities with at least one qualified event zone,upstream_unique_securities for same state_line,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
events_per_year,event_zone,qualified_event_count grouped by calendar year,nonzero calendar years,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
nonzero_years,event_zone,count years with qualified_event_count>0,available sample years,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
max_year_share,event_zone,max yearly qualified_event_count,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,hard_gate_input,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
mega_zone_concentration,event_zone,top 1 percent zones by span days divided by total zone_span_days,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
top_zone_confirmed_day_share,event_zone,largest zone confirmed component day count divided by total confirmed component days,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
within_route_overlapping_event_count,event_zone,same security overlapping zones in same route cell,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
post_merge_short_zone_count,event_zone,merged zones whose retained confirmed component day count is below d after all accepted bridges,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
intersection_confirmed_days,window_compare,W120 and W250 confirmed exact-key intersection,common exact-key denominator,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
W120_only_confirmed_days,window_compare,W120 confirmed keys absent from W250,W120 own confirmed keys,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
W250_only_confirmed_days,window_compare,W250 confirmed keys absent from W120,W250 own confirmed keys,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
confirmed_day_jaccard,window_compare,intersection_confirmed_days,union confirmed exact keys,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
matched_event_count,window_compare,"greedy one-to-one match by security, overlapping confirmed days, earliest primary start, earliest sidecar start, then scan_event_id",qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
overlapping_event_count,window_compare,events with overlapping zone spans,qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
strict_core_confirmed_day_share,strict_core,shared-q confirmed days within primary confirmed days,primary confirmed days,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
strict_core_event_share,strict_core,primary events containing strict-core component,primary qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
strict_core_confirmed_day_count,strict_core,strict-core confirmed exact-key count,strict-core eligible valid daily rows,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
strict_core_subset_status,strict_core,all strict-core confirmed keys subset primary keys,strict-core exact keys,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
shell_only_event_count,strict_core,primary events without strict-core member,primary qualified_event_count,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
shell_only_confirmed_day_count,strict_core,primary confirmed exact keys absent from strict-core exact keys,primary confirmed days,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
shell_only_confirmed_day_share,strict_core,shell_only_confirmed_day_count,primary confirmed days,"route_id,candidate_cell_id,security_id,trade_date_or_event_id",eligible=true and quality_state=valid unless metric explicitly counts quality breaks,unknown blocked diagnostic_required ineligible missing expected trading row and future labels,open intervals retained only with explicit right_censored status,right censored prequalification intervals excluded from short_interval_drop_rate denominator,quality break closes zone as FINALIZED_WITH_QUALITY_BREAK and never bridges,own_eligible and common_W120_W250 both reported where route comparison is made,checked against registered d/g monotonic invariants,diagnostic_or_reported,zero denominator returns null with explicit reason and hard-gate inputs fail closed,actual row available_time and committed source lineage
