metric_id,layer,entity_level,numerator_or_aggregation,denominator,deduplication_key,included_rows,excluded_rows,censoring_policy,open_event_policy,denominator_scope,expected_parameter_response,hard_gate_usage,null_or_zero_denominator_policy,availability_basis
bridge_count_mean,g_grouped_event_zone,event_zone,distribution statistic over the named entity,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,bridge_segment_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",exclude right-censored and open entities from duration/failure denominators,exclude open and right-censored entities from completed-duration distributions,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
bridge_count_p90,g_grouped_event_zone,event_zone,distribution statistic over the named entity,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,bridge_segment_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",exclude right-censored and open entities from duration/failure denominators,exclude open and right-censored entities from completed-duration distributions,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
bridged_gap_days,g_grouped_event_zone,event_zone,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,bridge_segment_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
max_single_gap_days,g_grouped_event_zone,eligible_day,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,bridge_segment_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
bridged_gap_ratio,g_grouped_event_zone,event_zone,explicit numerator divided by the corresponding eligible entity population,eligible event_zone population in the same route/cell/scope,"route_id,candidate_role,d,g,security_id,scan_event_id,bridge_segment_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
confirmed_density,g_grouped_event_zone,eligible_day,explicit numerator divided by the corresponding eligible entity population,eligible eligible_day population in the same route/cell/scope,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
merge_ratio,g_grouped_event_zone,eligible_day,explicit numerator divided by the corresponding eligible entity population,eligible eligible_day population in the same route/cell/scope,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
zone_revision_count,g_grouped_event_zone,event_zone,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
mega_zone_ratio,g_grouped_event_zone,event_zone,explicit numerator divided by the corresponding eligible entity population,eligible event_zone population in the same route/cell/scope,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
max_zone_span,g_grouped_event_zone,event_zone,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
top_zone_confirmed_day_share,g_grouped_event_zone,event_zone,explicit numerator divided by the corresponding eligible entity population,eligible event_zone population in the same route/cell/scope,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
nonzero_years,g_grouped_event_zone,eligible_day,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,event_year,scan_event_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
max_year_share,g_grouped_event_zone,eligible_day,explicit numerator divided by the corresponding eligible entity population,eligible eligible_day population in the same route/cell/scope,"route_id,candidate_role,d,g,security_id,event_year,scan_event_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
within_route_overlapping_event_count,g_grouped_event_zone,event_zone,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
strict_core_confirmed_day_share,strict_core_shell,eligible_day,explicit numerator divided by the corresponding eligible entity population,eligible eligible_day population in the same route/cell/scope,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
expansion_shell_confirmed_day_share,strict_core_shell,eligible_day,explicit numerator divided by the corresponding eligible entity population,eligible eligible_day population in the same route/cell/scope,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
strict_core_qualified_component_share,strict_core_shell,confirmed_component,explicit numerator divided by the corresponding eligible entity population,eligible confirmed_component population in the same route/cell/scope,"route_id,candidate_role,d,security_id,component_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
shell_only_qualified_component_count,strict_core_shell,confirmed_component,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,security_id,component_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
zones_with_strict_core_ratio,strict_core_shell,event_zone,explicit numerator divided by the corresponding eligible entity population,eligible event_zone population in the same route/cell/scope,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
shell_only_zone_ratio,strict_core_shell,event_zone,explicit numerator divided by the corresponding eligible entity population,eligible event_zone population in the same route/cell/scope,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
strict_core_density_within_zone,strict_core_shell,event_zone,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
subset_status,strict_core_shell,eligible_day,exact contract invariant status,not_applicable,"route_id,candidate_role,security_id,trading_date",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,evaluate the exact contract invariant over both finalized and explicitly censored records,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
confirmed_state_overlap,window_comparison,paired_window_route,count distinct entities satisfying the metric predicate,not_applicable,"state_line,candidate_role,d,g,W120_entity_id,W250_entity_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
qualified_component_overlap,window_comparison,confirmed_component,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,security_id,component_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
event_zone_overlap,window_comparison,event_zone,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
intersection_days,window_comparison,paired_window_route,count distinct entities satisfying the metric predicate,not_applicable,"state_line,candidate_role,d,g,W120_entity_id,W250_entity_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
W120_only_days,window_comparison,paired_window_route,count distinct entities satisfying the metric predicate,not_applicable,"state_line,candidate_role,d,g,W120_entity_id,W250_entity_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
W250_only_days,window_comparison,paired_window_route,count distinct entities satisfying the metric predicate,not_applicable,"state_line,candidate_role,d,g,W120_entity_id,W250_entity_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,include observed confirmed membership through the evaluation cutoff without fabricated closure,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
confirmed_jaccard,window_comparison,paired_window_route,explicit numerator divided by the corresponding eligible entity population,eligible paired_window_route population in the same route/cell/scope,"state_line,candidate_role,d,g,W120_entity_id,W250_entity_id",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,apply the declared censoring policy and expose open entities in separate state counts,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
matched_event_count,window_comparison,event_zone,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
overlapping_event_count,window_comparison,event_zone,count distinct entities satisfying the metric predicate,not_applicable,"route_id,candidate_role,d,g,security_id,scan_event_id,zone_revision",eligible rows in the declared layer and denominator scope,"unknown,diagnostic_required,blocked,ineligible,missing_observation",include observed-to-date entities; classify censoring separately,count finalized entities; open entities enter only when the metric name explicitly requests them,own_eligible or exact common_W120_W250 within state_line and candidate_role,exact invariant or preregistered directional diagnostic; total zones need not be monotone in d,"exact invariant, preregistered hard-gate input, or disclosed diagnostic without winner score",return null plus explicit reason; hard-gate inputs fail closed,as-of observed rows; retrospective membership carries membership_available_time and is never backfilled
